Category,State/UT,One Star - Hotels - 2010,One Star - Rooms - 2010,One Star - Hotels - 2012,One Star - Rooms - 2012,One Star - Hotels - 2013,One Star - Rooms - 2013,One Star - Hotels - 2014,One Star - Rooms - 2014,One Star - Hotels - 2015,One Star - Rooms - 2015,One Star - Hotels - 2016,One Star - Rooms - 2016,Two Star - Hotels - 2010,Two Star - Rooms - 2010,Two Star - Hotels - 2012,Two Star - Rooms - 2012,Two Star - Hotels - 2013,Two Star - Rooms - 2013,Two Star - Hotels - 2014,Two Star - Rooms - 2014,Two Star - Hotels - 2015,Two Star - Rooms - 2015,Two Star - Hotels - 2016,Two Star - Rooms - 2016,Three Star - Hotels - 2010,Three Star - Rooms - 2010,Three Star - Hotels - 2012,Three Star - Rooms - 2012,Three Star - Hotels - 2013,Three Star - Rooms - 2013,Three Star - Hotels - 2014,Three Star - Rooms - 2014,Three Star - Hotels - 2015,Three Star - Rooms - 2015,Three Star - Hotels - 2016,Three Star - Rooms - 2016,Four Star - Hotels - 2010,Four Star - Rooms - 2010,Four Star - Hotels - 2012,Four Star - Rooms - 2012,Four Star - Hotels - 2013,Four Star - Rooms - 2013,Four Star - Hotels - 2014,Four Star - Rooms - 2014,Four Star - Hotels - 2015,Four Star - Rooms - 2015,Four Star - Hotels - 2016,Four Star - Rooms - 2016,Five Star - Hotels - 2010,Five Star - Rooms - 2010,Five Star - Hotels - 2012,Five Star - Rooms - 2012,Five Star - Hotels - 2013,Five Star - Rooms - 2013,Five Star - Hotels - 2014,Five Star - Rooms - 2014,Five Star - Hotels - 2015,Five Star - Rooms - 2015,Five Star - Hotels - 2016,Five Star - Rooms - 2016,Five Star Delux - Hotels - 2010,Five Star Delux - Rooms - 2010,Five Star Delux - Hotels - 2012,Five Star Delux - Rooms - 2012,Five Star Delux - Hotels - 2013,Five Star Delux - Rooms - 2013,Five Star Delux - Hotels - 2014,Five Star Delux - Rooms - 2014,Five Star Delux - Hotels - 2015,Five Star Delux - Rooms - 2015,Five Star Delux - Hotels - 2016,Five Star Delux - Rooms - 2016,Others - Hotels - 2010,Others - Rooms - 2010,Others - Hotels - 2012,Others - Rooms - 2012,Others - Hotels - 2013,Others - Rooms - 2013,Others - Hotels - 2014,Others - Rooms - 2014,Others - Hotels - 2015,Others - Rooms - 2015,Others - Hotels - 2016,Others - Rooms - 2016
State,Sikkim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8,130,8,130,6,93,4,67,8,150,1,30,5,117,4,96,2,51,2,51,7,163,5,119,NA,NA,1,58,NA,NA,NA,NA,1,30,1,30,1,58,1,25,1,25,1,25,1,25,2,50,1,63,1,63,1,68,1,68,1,64,1,64,NA,NA,1,25,1,25,1,50,NA,NA,0,0
State,Tamil Nadu,18,804,78,2277,52,1534,34,983,25,731,11,344,14,554,23,742,15,484,11,334,11,371,5,139,37,2459,56,3447,45,2845,36,2382,41,2937,33,2304,12,1525,5,641,6,803,4,465,3,383,4,518,10,1291,5,593,6,696,3,429,12,1661,12,1607,7,1264,6,1251,6,1225,6,1316,4,965,4,965,6,163,2,55,2,55,6,73,9,45,6,67
State,Tripura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,101,NA,NA,NA,NA,NA,NA,1,101,2,134,NA,NA,1,88,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
State,Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,15,1351,15,1274,NA,NA,NA,NA,NA,NA,NA,NA,3,458,4,586,NA,NA,NA,NA,NA,NA,NA,NA,6,1083,6,1083,NA,NA,NA,NA,NA,NA,NA,NA,5,1480,6,1732,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,6
State,Uttarakhand,2,34,NA,NA,NA,NA,NA,NA,NA,NA,0,0,6,115,2,45,2,45,NA,NA,NA,NA,0,0,17,869,10,409,5,156,3,92,3,160,3,160,2,125,2,124,2,124,1,68,NA,NA,1,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,90,1,90,1,90,NA,NA,1,135,15,146,3,93,3,93,1,42,14,64,21,112
State,Uttar Pradesh,2,76,NA,NA,NA,NA,NA,NA,NA,NA,0,0,6,240,4,157,4,157,2,69,2,65,2,65,35,1321,24,1090,16,800,13,677,16,741,7,253,5,270,1,42,1,42,2,130,1,88,1,88,13,1919,4,650,6,864,7,1185,7,869,8,966,9,1371,6,853,7,1194,9,1598,8,1127,9,1360,170,1275,10,324,3,113,4,217,56,283,81,424
State,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5,135,6,160,4,115,2,66,3,118,2,56,11,433,11,473,9,420,10,474,14,583,13,584,5,411,1,122,2,224,3,340,1,101,1,101,3,349,3,656,2,331,3,423,5,910,4,763,6,1320,2,468,3,617,3,617,6,1256,7,1485,3,58,4,30,6,175,11,562,6,56,18,102
Union Territory,A. & N. Islands,1,13,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,2,59,2,59,2,59,NA,NA,0,0,2,48,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,45,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,45,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,61,NA,NA,0,0
Union Territory,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,12,2,24,2,24,NA,NA,NA,NA,0,0,4,92,2,40,NA,NA,1,34,2,191,1,157,NA,NA,NA,NA,1,114,2,132,2,132,2,132,1,155,1,155,1,155,1,155,NA,NA,0,0,NA,NA,NA,NA,1,164,2,313,2,313,2,313,NA,NA,1,149,1,12,1,12,NA,NA,0,0
Union Territory,D. & N. Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,173,1,50,1,50,1,50,1,60,0,0,2,194,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,176,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Union Territory,Daman and Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,42,1,60,1,60,1,60,1,176,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Union Territory,Delhi,8,196,1,10,NA,NA,NA,NA,NA,NA,0,0,9,308,6,223,6,223,4,184,2,39,1,14,18,570,9,276,8,208,7,192,9,303,3,101,14,1134,8,982,7,637,6,558,5,462,7,642,6,860,2,296,5,1140,6,1231,8,1048,5,664,31,9999,17,5160,15,4402,15,4094,18,5488,18,5489,202,648,1,5,6,483,9,1247,NA,NA,0,0
Union Territory,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Union Territory,Puducherry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,2,136,1,39,NA,NA,NA,NA,0,0,NA,NA,5,355,6,403,5,390,4,312,3,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,33,2,32,1,11,1,11,NA,NA,0,0
